symbol,overall_score,health_label,profitability_score,growth_score,leverage_score,cashflow_score,dividend_score
ABB,46.0,WEAK,14.0,0.8,19.9,3.7,7.1
ADANIENSOL,36.1,WEAK,14.1,1.5,12.6,3.1,3.4
ADANIENT,44.6,WEAK,14.0,1.3,12.3,3.1,3.9
ADANIGREEN,24.5,POOR,14.1,2.1,0.0,3.1,3.4
ADANIPORTS,43.5,WEAK,14.1,1.6,16.5,3.1,4.4
ADANIPOWER,45.9,WEAK,14.0,2.1,17.3,3.1,3.4
AMBUJACEM,47.3,WEAK,14.0,0.7,19.9,3.2,6.8
APOLLOHOSP,42.1,WEAK,14.0,1.1,16.1,3.1,5.6
ASIANPAINT,48.9,WEAK,14.0,0.9,19.4,3.3,7.0
ATGL,41.7,WEAK,14.0,1.5,18.5,3.1,3.8
AXISBANK,33.1,POOR,14.2,1.8,0.0,3.1,4.0
BAJAJ-AUTO,60.5,AVERAGE,14.0,1.2,19.3,15.0,7.1
BAJAJFINSV,33.7,POOR,14.1,1.7,1.3,3.1,3.5
BAJAJHLDNG,47.8,WEAK,14.1,4.5,20.0,4.2,4.7
BAJFINANCE,42.1,WEAK,17.7,2.0,5.1,5.8,4.3
BANKBARODA,31.4,POOR,12.5,1.7,0.0,3.1,4.2
BEL,43.8,WEAK,14.0,1.1,16.6,4.3,6.0
BHARTIARTL,45.3,WEAK,14.1,1.0,9.6,3.1,7.5
BHEL,43.5,WEAK,14.0,0.7,18.5,3.1,6.1
BOSCHLTD,47.5,WEAK,14.0,1.3,20.0,4.0,6.3
BPCL,52.2,AVERAGE,14.0,1.1,16.9,3.1,7.1
BRITANNIA,44.4,WEAK,14.0,0.8,16.6,3.6,8.0
CANBK,28.8,POOR,10.0,1.6,0.0,3.1,4.1
CHOLAFIN,29.4,POOR,14.9,2.2,0.0,5.7,4.2
CIPLA,46.4,WEAK,15.7,0.8,19.9,3.3,4.6
COALINDIA,68.5,AVERAGE,25.0,1.1,19.7,3.1,9.6
DABUR,44.8,WEAK,14.0,0.7,19.3,3.2,6.7
DIVISLAB,47.1,WEAK,14.1,0.0,20.0,6.6,5.8
DLF,43.9,WEAK,14.0,0.7,19.6,3.1,6.4
DMART,49.4,WEAK,14.0,1.8,19.9,3.2,3.4
DRREDDY,45.2,WEAK,14.0,1.1,19.4,3.2,4.8
EICHERMOT,47.3,WEAK,14.0,1.7,19.9,4.5,5.2
GAIL,53.8,AVERAGE,14.0,1.4,19.1,3.2,6.1
GODREJCP,42.8,WEAK,14.0,0.7,18.7,3.1,5.2
GRASIM,45.7,WEAK,14.0,1.2,13.2,3.1,4.2
HAL,44.3,WEAK,14.0,0.9,17.6,3.8,5.8
HAVELLS,46.7,WEAK,14.0,1.2,19.8,3.2,6.0
HCLTECH,54.7,AVERAGE,14.0,1.0,19.7,3.4,6.6
HDFCBANK,38.6,WEAK,18.2,2.6,0.0,3.1,4.7
HDFCLIFE,54.6,AVERAGE,14.4,1.5,19.8,4.0,4.9
HEROMOTOCO,50.2,AVERAGE,16.1,1.0,19.9,3.3,7.9
HINDALCO,56.6,AVERAGE,21.2,0.6,17.9,3.4,3.5
HINDUNILVR,58.3,AVERAGE,18.3,0.8,19.9,3.5,10.0
ICICIBANK,19.4,POOR,0.0,1.8,0.0,3.0,4.6
ICICIGI,42.8,WEAK,14.5,1.0,20.0,0.0,4.9
ICICIPRULI,55.7,AVERAGE,14.2,1.3,20.0,3.9,6.3
INDIGO,58.4,AVERAGE,15.6,3.4,19.9,3.2,6.3
INDUSINDBK,27.2,POOR,14.2,1.5,0.0,3.1,4.3
INFY,58.6,AVERAGE,14.0,1.0,19.6,6.8,7.2
IOC,48.3,WEAK,14.0,1.1,16.4,3.1,3.7
IRCTC,47.8,WEAK,14.0,2.9,20.0,3.5,6.7
IRFC,26.9,POOR,14.1,1.1,0.0,3.1,5.2
ITC,54.6,AVERAGE,14.1,0.8,20.0,4.4,8.8
JINDALSTEL,43.7,WEAK,14.0,0.3,18.5,3.1,3.5
JIOFIN,66.4,AVERAGE,14.1,20.0,20.0,3.9,3.4
JSWENERGY,40.2,WEAK,14.1,1.3,15.6,3.1,5.1
JSWSTEEL,47.9,WEAK,14.0,0.8,15.2,3.1,4.8
KOTAKBANK,29.3,POOR,11.5,1.8,4.0,3.0,3.5
LICI,53.7,AVERAGE,14.0,0.8,20.0,4.9,4.0
LODHA,39.5,WEAK,14.0,0.6,18.2,3.1,3.6
LT,53.7,AVERAGE,14.0,1.3,19.6,3.1,5.7
LTIM,52.1,AVERAGE,14.0,1.2,19.6,3.6,6.7
M&M,48.3,WEAK,14.0,1.6,13.4,3.1,6.2
MARUTI,54.5,AVERAGE,14.0,1.7,20.0,3.4,5.4
MOTHERSON,50.9,AVERAGE,14.0,1.6,16.9,3.1,5.6
NAUKRI,41.4,WEAK,14.0,1.7,20.0,3.1,2.2
NESTLEIND,50.5,AVERAGE,14.0,1.4,19.6,3.5,9.4
NHPC,41.4,WEAK,14.1,0.5,16.6,3.1,7.1
NTPC,48.6,WEAK,14.0,1.2,14.2,3.1,6.1
ONGC,52.2,AVERAGE,14.0,0.9,17.8,3.2,6.3
PFC,29.6,POOR,14.0,0.8,0.0,3.0,5.3
PIDILITIND,45.6,WEAK,14.0,1.0,19.8,3.3,6.0
PNB,37.7,WEAK,14.0,1.4,5.3,3.0,4.0
POWERGRID,41.2,WEAK,14.1,0.6,14.7,3.1,6.5
RECLTD,27.7,POOR,14.1,0.9,0.0,3.1,5.7
RELIANCE,50.7,AVERAGE,14.0,1.1,18.3,3.1,4.2
SBILIFE,53.9,AVERAGE,14.0,1.7,20.0,3.8,4.4
SBIN,38.1,WEAK,14.0,1.5,0.0,3.0,9.6
SHREECEM,44.7,WEAK,14.0,1.2,19.7,3.1,4.7
SHRIRAMFIN,33.1,POOR,14.0,2.2,4.1,3.0,4.5
SIEMENS,47.1,WEAK,14.0,1.3,19.9,3.4,5.4
SUNPHARMA,47.8,WEAK,14.0,1.0,19.9,3.3,5.4
TATACONSUM,38.7,WEAK,14.0,0.9,19.4,3.1,0.0
TATAMOTORS,48.3,WEAK,14.0,1.7,15.8,3.1,3.7
TATAPOWER,44.0,WEAK,14.0,1.4,13.1,3.1,3.7
TATASTEEL,45.5,WEAK,14.0,0.2,15.6,3.1,2.6
TCS,56.8,AVERAGE,14.0,1.0,19.6,5.0,7.2
TECHM,49.3,WEAK,14.0,0.8,19.7,3.2,7.0
TITAN,43.6,WEAK,14.0,2.0,11.1,3.1,5.5
TORNTPHARM,44.1,WEAK,14.0,1.0,18.3,3.1,7.0
TRENT,45.4,WEAK,14.0,3.6,18.4,3.1,4.0
TVSMOTOR,42.0,WEAK,14.0,1.7,12.5,3.1,5.4
